diggCount,createTimeISO,hashtags_0_name,hashtags_0_title,hashtags_1_name,hashtags_1_title,hashtags_2_name,hashtags_2_title,hashtags_3_name,hashtags_3_title,hashtags_4_name,hashtags_4_title,hashtags_5_name,hashtags_5_title,hashtags_6_name,hashtags_6_title,hashtags_7_name,hashtags_7_title,hashtags_8_name,hashtags_8_title,hashtags_9_name,hashtags_9_title,hashtags_10_name,hashtags_10_title,hashtags_11_name,hashtags_11_title,hashtags_12_name,hashtags_12_title,hashtags_13_name,hashtags_13_title,hashtags_14_name,hashtags_14_title,hashtags_15_name,hashtags_15_title,hashtags_16_name,hashtags_16_title,hashtags_17_name,hashtags_17_title,hashtags_18_name,hashtags_18_title,hashtags_19_name,hashtags_19_title,hashtags_20_name,hashtags_20_title,hashtags_21_name,hashtags_21_title,hashtags_22_name,hashtags_22_title,hashtags_23_name,hashtags_23_title,hashtags_24_name,hashtags_24_title,hashtags_25_name,hashtags_25_title,hashtags_26_name,hashtags_26_title,hashtags_27_name,hashtags_27_title,hashtags_28_name,hashtags_28_title,hashtags_29_name,hashtags_29_title,hashtags_30_name,hashtags_30_title,hashtags_31_name,hashtags_31_title,hashtags_32_name,hashtags_32_title,hashtags_33_name,hashtags_33_title,hashtags_34_name,hashtags_34_title,hashtags_35_name,hashtags_35_title,hashtags_36_name,hashtags_36_title,hashtags_37_name,hashtags_37_title,hashtags_38_name,hashtags_38_title,hashtags_39_name,hashtags_39_title,hashtags_40_name,hashtags_40_title,hashtags_41_name,hashtags_41_title,hashtags_42_name,hashtags_42_title,hashtags_43_name,hashtags_43_title,hashtags_44_name,hashtags_44_title,hashtags_45_name,hashtags_45_title,hashtags_46_name,hashtags_47_name,hashtags_47_title,hashtags_48_name,hashtags_48_title,input,isAd,isMuted,musicMeta_musicName,searchHashtag_name,searchHashtag_views,videoMeta_duration
98200,2023-03-18T21:43:00.000Z,machala,,edificio,,poderoso,,sismo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machala,false,false,Kita Flobamora,machala,3600000000,15
98000,2024-05-12T01:01:31.000Z,fypシ,,parati,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,tienda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tienda,false,false,El billete que nos estamos ahorrando,tienda,9700000000,7
98,2024-07-11T02:13:06.000Z,,,alexangamarca,,angamarkaediciones,,elmasterdelosapellidos,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,Chola Cuencana (Pasacalle Ecuador),cuenca,11700000000,83
98,2024-07-11T02:38:17.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,local,false,false,"News, news, seriousness, tension(1077866)",local,6900000000,47
9770,2024-07-10T17:14:11.000Z,,,moto,,motociclista,,motocicleta,,quito,,uio,,municipio,,view,,fyp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,false,false,Le Monde - From Talk to Me,quito,36100000000,40
976,2024-07-10T17:03:37.000Z,emprendedores,,emprende,,sebusca,,confiteriadonhernan,,guayaquil,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guayaquil,false,false,Shut Up and Dance,guayaquil,36900000000,54
9741,2024-07-10T15:26:58.000Z,retirodepestañas,,pestañasdiy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,false,false,sonido original,quito,36100000000,208
97400,2024-05-31T21:54:11.000Z,somospromo,,promocion,,12,,colegio,,seniors,,promo,,2025,,ecuador,,arg,,chismesito,,lisuras,,upd,,uno,,una,,de,,aqui,,unodeaqui,,chisme,Cuéntanos un #chisme que nos deje la boca abierta 🤯,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,parati,,fyp,,zyxbca,,gye,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoecuador,false,false,sonido original,promoecuador,748100,58
973,2024-07-10T17:36:26.000Z,,,FC24,,Gamingentiktok,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promo,false,false,sonido original,promo,32100000000,32
9717,2024-05-08T09:45:25.000Z,machalaquote,,ukdrill,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machala,false,false,original sound,machala,3600000000,11
97000,2024-06-28T07:52:40.000Z,gratis,,diyarbakır,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,false,false,orijinal ses,gratis,18300000000,10
97000,2023-07-17T17:35:20.000Z,aguastermales,,termasdezhagal,,molleturo,,cuenca,,azuay,,ecuador,,turismoecuador,,fyp,,rinconessecretos,"Este año, más que nunca, haremos turismo nacional. Descubre los rincones de España que aún no conocías y comparte con nosotros los sitios más especiales de tu ciudad / pueblo.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,sonido original,cuenca,11700000000,14
97,2024-07-10T14:05:20.000Z,live,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,tendencia,,ecuador,,fyp,,emprender,,tendencia,,mayoristas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoecuador,false,false,love me back Bronya Remix on YouTube,promoecuador,748100,11
968300,2024-03-30T22:40:24.000Z,,,graciasporsuapoyo❣️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comercial,false,false,sonido original,comercial,3100000000,93
9674,2023-12-13T05:17:31.000Z,santodomingoecuador🇪🇨,,ropaeconomicaecuador,,parati,,ropapormayor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,WATATI (feat. Aldo Ranks) [From Barbie The Album],santodomingoecuador,1700000000,21
965,2022-08-03T20:17:55.000Z,reels,,modamasculina,"Comparte en TikTok todos esos outfits que te hacen sentir bien y ser tú mismo, sin importar el origen de las prendas. Crea tus videos con el challenge #ModaMasculina y participa del #FashionMonth🧣💼",modastreetwear,,modasurf,,surfwear,,streetwear,"Calling all sneakerheads, show us your fits",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,loja,false,false,som original,loja,8300000000,11
96400,2024-03-29T00:45:09.000Z,tatuajesecreto,,tatuajesentiktok,,tatuajes,,tatuaje,,tatoogirl,,guayaquil,,tattoo,Muéstranos tu mejor #Tattoo o el peor 🤔,tattoos,,tatt,,tattoolover,,tattooartist,,tattooideas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guayaquil,false,false,sonido original,guayaquil,36900000000,14
964,2024-07-10T19:18:18.000Z,latierritasd❤💚,,latierritasantodomingo🇪🇨,,viralsantodomingo🥷✌️💜,,santodomingodelostsachilas,,distribuidora,,gorras1,,santodomingoecuador,,portoviejo💚manabi❤️ecuador🇪🇨,,oufitecuador,,oufitecuador,,todoecuador🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,sonido original,santodomingoecuador,1700000000,31
961300,2024-04-09T17:18:20.000Z,asmrmassage,,massage,,cracking,,goodvibes,Thumbs up to feel those #GoodVibes 👍👍👍,energyhealing,,fyp,,alfredouno,,cuencalimpia,,asmr,All the soothing sounds you need to massage your brain.,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,asmr,All the soothing sounds you need to massage your brain.,ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,sonido original,cuenca,11700000000,56
96100,2024-03-13T17:07:03.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,false,false,sonido original,ambato,4600000000,154
9600,2024-06-09T16:04:23.000Z,santodomingoecuador,,fyp,,viralvideo,,portoviejo💚manabi❤️ecuador🇪🇨,,manta,,moreira,,pelileo_city,,voces,,yapapitodescansa,,portoviejo💚manabi❤️ecuador🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,false,sonido original,santodomingoecuador,1700000000,59
96,2024-07-11T02:24:39.000Z,parchesacne,,pimplepatch,,comoquitaracne,,skincareacne,,parcheshidrocoloides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publicidad,false,false,face without eyes,publicidad,59000000000,63
956,2024-07-10T16:32:29.000Z,,,ecuador,,like,,comenta,,comparte,,sigueme,,fyp,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,machala,,cuenca,,quito,,guayaquil,,autoshow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guayaquil,false,false,Sport Rock,guayaquil,36900000000,82
956,2024-07-10T16:32:29.000Z,,,ecuador,,like,,comenta,,comparte,,sigueme,,fyp,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,machala,,cuenca,,quito,,guayaquil,,autoshow,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,Sport Rock,cuenca,11700000000,82
95500,2024-02-14T06:18:11.000Z,furionoboa,,ecuador,,noche,,martes,,febrero,,padres,,danielnoboapresidente,,laviniavalbonesi,,fyp,,bebés,,ecuavisa,,carnaval,"Aunque se hayan pospuesto las celebraciones en tu comunidad, esta semana puedes disfrutar de los Carnavales en TikTok. Queremos ver tus disfraces, tus storytimes más impactantes o tus ideas más alocadas para compartir con tus amigxs 🥳",fernandovillavicencio,,cooperativaloja,,cuenca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,Acróstico (Solo Version),cuenca,11700000000,23
951800,2024-01-04T23:46:18.000Z,fyp,,foryou,,fypシ,,quito,,ecuador,,fypシ゚viral,,hermanos,,comedia,"¡El rincón de la risa en TikTok! Disfruta y comparte los mejores memes, chistes e historias de comedia para divertir a todos en casa.",mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,colombia,,fy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,quito,false,false,sonido original,quito,36100000000,14
951800,2024-01-04T23:46:18.000Z,fyp,,foryou,,fypシ,,quito,,ecuador,,fypシ゚viral,,hermanos,,comedia,"¡El rincón de la risa en TikTok! Disfruta y comparte los mejores memes, chistes e historias de comedia para divertir a todos en casa.",mexico,México lindo y querido! 🇲🇽🇲🇽 No olvides utilizar el tag #mexico en tu video!,colombia,,fy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ecuador,false,false,sonido original,ecuador,195300000000,14
95100,2024-01-16T01:47:56.000Z,ecuador🇪🇨,,realstate,,casapropia,,casaenventa,,creditoinmobiliario,,santodomingoecuador,,ventadecasas,,arquitectura,,decoracion,¡Momento de cambiar tu hogar! Sube los mejores tips de #decoracion 🏠 🖌 ⚒️,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,santodomingoecuador,false,true,Originalton - Rammor,santodomingoecuador,1700000000,71
9510,2024-04-11T23:52:17.000Z,automotriz,,ambato,,guaranda,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,ambato_ecuador🇪🇨🇪🇨,,suspension,,latacunga,,carros,,parati,,arreglo,,alineacionybalanceo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,false,false,sonido original,ambato,4600000000,41
951,2024-07-10T15:46:28.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promo,false,false,son original,promo,32100000000,15
950,2024-06-26T02:04:00.000Z,fyp,,revelaciondegenero,,maternidad,,ambato,,sesiondefotos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,false,false,Te Esperaba,ambato,4600000000,52
95,2024-07-03T14:55:07.000Z,carburador,,repuestosmotocicleta,,guayaquil,,ecuador🇪🇨,,casco,,moto,,fyp,,paratiiiiiiiiiiiiiiiiiiiiiiiiiiiiiii,,tallerdemotos,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,guayaquil,false,false,sonido original,guayaquil,36900000000,37
95,2024-07-10T15:28:04.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,machala,false,false,son original,machala,3600000000,15
9489,2024-06-26T01:31:04.000Z,amazon,,prime,,pimeday,,2024,,shopping,,tech,,tips,Show us your pro #Tips.,noticias,,random,,ofertas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ofertas,false,false,sonido original,ofertas,14200000000,85
948300,2023-09-30T03:26:59.000Z,fyp,,fyp,,cuenca,,tdah,,hiperactividad,,universidad,,atencion,,cuenca_ecuador,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuenca,false,false,sonido original,cuenca,11700000000,20
94600,2024-03-19T00:56:46.000Z,barquisimeto,,venezuela,,tienda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tienda,false,false,Temperature,tienda,9700000000,15
94500,2023-10-20T01:49:34.000Z,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,tendencia,,latri,,ecuadorvscolombia,,colombia,,ecuador,,mipais,,tierradulce,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,false,false,sonido original,,,14
94400,2023-08-05T01:31:52.000Z,gamestick4k,,chullavidacarajo🐎🇪🇨❤️,,videojuegos🎮,,ps4ecuador,,centrocomercialespiral,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,comerciales,true,false,original sound,comerciales,789600000,60
94100,2024-07-04T09:04:19.000Z,birthdaytreats,,makangratis,,ultah,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,gratis,false,false,birds of a feather,gratis,18300000000,26
9400000,2024-04-19T15:13:18.000Z,stitch,"Let your Fyp inspire your next TikTok by stitching your favorite &amp; most relatable videos. Just find a TikTok video you love, press share, and send it to Stitch. 😍",,,adsvsreality,,instagramvsreality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ad,false,false,MISSION IMPOSIBLE,ad,525800000000,15
940,2024-07-11T01:42:05.000Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,free,false,false,son original,free,68200000000,258
939600,2023-09-21T06:19:02.000Z,español,,aprendeespañol,,teacher,,azafata,,piloto,,flightattendant,,avion,,fp,,spanishteacher,,duet,"Two is always better than one, so show us your perfect #Duet.",trending,"Discover the top viral trends, sounds and effects of the week! 🔥",azafata,,piloto,,comandante,,capitan,,anuncio,,fyp,,monologo,,divertido,,learnenglish,,english,,englishteacher,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anuncio,false,false,original sound,anuncio,1900000000,26
93500,2024-06-24T19:46:45.000Z,parati,,promo,,2024,,zxycba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promo,false,false,sonido original,promo,32100000000,10
93500,2023-10-18T22:52:39.000Z,promo24,,senior,,egresados,,fyp,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,tiktok,,quito,,ecuador,,parati,,24,,prom,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,promoecuador,false,false,Disputa Taka Taka,promoecuador,748100,29
931,2024-07-11T00:00:22.000Z,artistatiktok,"Lápices, pinturas, papel, manualidades o lienzo... Es momento de mostrarnos tu creatividad en tus mejores creaciones en #ArtistaTikTok. Descubre más https://bit.ly/ArtistaTikTok  🎨🖌",criatividade,,arte,"Lápices, pinturas, papel o lienzo... Es momento de mostrar tu #Arte 🖼 👩‍🎨",escultura,,glart,,publi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publi,false,false,som original,publi,33700000000,47
930300,2024-06-26T21:55:05.000Z,twister,,,,publicidad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publicidad,false,false,BLUE,publicidad,59000000000,121
930,2024-07-10T16:07:52.000Z,lula,,rouanet,,metrópoles,,tiktoknotícias,As notícias mais importantes do dia reunidas em um só lugar pra te deixar sempre bem informado!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,anuncio,false,false,som original,anuncio,1900000000,36
93,2024-07-10T20:42:17.000Z,,,fyp,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,xyzbca,Asla bir sonraki hamleni bilmelerine izin verme! 👀,contenido,,ambato,,universidad,,uniandinos,,🇪🇨,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ambato,false,false,sonido original,ambato,4600000000,15
926,2024-07-10T21:20:58.000Z,parati,,viral,¡descubre las canciones en tendencia! 🔥➡️ https://bit.ly/TendenciasTikTok_LATAM,dj,Are you the one responsible for the music this summer? Get inspiration from DJs around the world here.,fypシ,,fyp,,storytime,Share a story that's going on in your life or a factual one that you want the world to know! 📖,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,publicidad,false,false,sonido original,publicidad,59000000000,237
